settlement_id,bank_txn_id,method,confidence,reason
SET-031,BK-0031,rule_exact_utr,1.0,Exact UTR UTR5869232260 and amount match
SET-032,BK-0032,rule_exact_utr,1.0,Exact UTR UTR6342160733 and amount match
SET-033,BK-0033,rule_exact_utr,1.0,Exact UTR UTR3036541458 and amount match
SET-034,BK-0034,rule_exact_utr,1.0,Exact UTR UTR5014294019 and amount match
SET-035,BK-0035,rule_exact_utr,1.0,Exact UTR UTR6981693406 and amount match
SET-036,BK-0036,rule_exact_utr,1.0,Exact UTR UTR3561595148 and amount match
SET-037,BK-0037,rule_exact_utr,1.0,Exact UTR UTR6482366299 and amount match
SET-038,BK-0038,rule_exact_utr,1.0,Exact UTR UTR4436995777 and amount match
SET-039,BK-0039,rule_exact_utr,1.0,Exact UTR UTR2148951343 and amount match
SET-040,BK-0040,rule_exact_utr,1.0,Exact UTR UTR3791769367 and amount match
SET-041,BK-0041,rule_exact_utr,1.0,Exact UTR UTR0163287083 and amount match
SET-042,BK-0042,rule_exact_utr,1.0,Exact UTR UTR8895798687 and amount match
SET-043,BK-0043,rule_exact_utr,1.0,Exact UTR UTR7434873471 and amount match
SET-044,BK-0044,rule_exact_utr,1.0,Exact UTR UTR5581223623 and amount match
SET-045,BK-0045,rule_exact_utr,1.0,Exact UTR UTR8760366909 and amount match
SET-046,BK-0046,rule_exact_utr,1.0,Exact UTR UTR4668893734 and amount match
SET-047,BK-0047,rule_exact_utr,1.0,Exact UTR UTR5627298069 and amount match
SET-048,BK-0048,rule_exact_utr,1.0,Exact UTR UTR6272046537 and amount match
SET-049,BK-0049,rule_exact_utr,1.0,Exact UTR UTR4641708053 and amount match
SET-050,BK-0050,rule_exact_utr,1.0,Exact UTR UTR0033092327 and amount match
SET-051,BK-0051,rule_exact_utr,1.0,Exact UTR UTR7452991241 and amount match
SET-052,BK-0052,rule_exact_utr,1.0,Exact UTR UTR9663193149 and amount match
SET-053,BK-0053,rule_exact_utr,1.0,Exact UTR UTR0586518506 and amount match
SET-054,BK-0054,rule_exact_utr,1.0,Exact UTR UTR7262849877 and amount match
SET-055,BK-0055,rule_exact_utr,1.0,Exact UTR UTR4531473799 and amount match
SET-056,BK-0056,rule_amount_date,1.0,Unique amount 5411.87 within ±1 day window
SET-057,BK-0057,rule_amount_date,1.0,Unique amount 4535.17 within ±1 day window
SET-058,BK-0058,rule_amount_date,1.0,Unique amount 925.82 within ±1 day window
SET-059,BK-0059,rule_amount_date,1.0,Unique amount 2944.12 within ±1 day window
SET-060,BK-0060,rule_amount_date,1.0,Unique amount 1887.8 within ±1 day window
SET-061,BK-0061,rule_amount_date,1.0,Unique amount 2557.69 within ±1 day window
SET-062,BK-0062,rule_amount_date,1.0,Unique amount 3861.3 within ±1 day window
SET-063,BK-0063,rule_amount_date,1.0,Unique amount 1383.47 within ±1 day window
SET-064,BK-0064,rule_amount_date,1.0,Unique amount 3714.01 within ±1 day window
SET-065,BK-0065,rule_amount_date,1.0,Unique amount 2264.24 within ±1 day window
SET-066,BK-0066,rule_amount_date,1.0,Unique amount 2471.82 within ±1 day window
SET-067,BK-0067,rule_amount_date,1.0,Unique amount 5251.55 within ±1 day window
SET-068,BK-0068,rule_amount_date,1.0,Unique amount 5571.69 within ±1 day window
SET-069,BK-0069,rule_amount_date,1.0,Unique amount 401.75 within ±1 day window
SET-070,BK-0070,rule_amount_date,1.0,Unique amount 1615.62 within ±1 day window
SET-071,BK-0071,rule_amount_date,1.0,Unique amount 3410.83 within ±1 day window
SET-072,BK-0072,rule_amount_date,1.0,Unique amount 6946.3 within ±1 day window
SET-073,BK-0073,rule_amount_date,1.0,Unique amount 1787.75 within ±1 day window
SET-074,BK-0074,rule_amount_date,1.0,Unique amount 4507.56 within ±1 day window
SET-075,BK-0075,rule_amount_date,1.0,Unique amount 7845.91 within ±1 day window
SET-076,BK-0076,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-077,BK-0078,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-078,BK-0080,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-079,BK-0082,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-080,BK-0084,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-081,BK-0086,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-082,BK-0088,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-083,BK-0090,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-084,BK-0092,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-085,BK-0094,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-086,BK-0096,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-087,BK-0098,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-088,BK-0100,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-089,BK-0102,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
SET-090,BK-0104,ai_gated,0.99,"amount match, partial UTR in narration, date within 1 day"
